Index,0,1,2,3,4,5,6,7,8,9,10
jack johnson,jack johnson,coldplay,clueso,amy winehouse,red hot chili peppers,the kooks,oasis,the beatles,mando diao,jason mraz,arctic monkeys
james blunt,james blunt,dido,michael jackson,mika,robbie williams,katie melua,jason mraz,lenny kravitz,norah jones,james morrison,duffy
james morrison,james morrison,jason mraz,maria mena,katie melua,amy macdonald,lenny kravitz,the fray,mika,duffy,james blunt,alicia keys
jamiroquai,jamiroquai,morcheeba,air,thievery corporation,blur,massive attack,goldfrapp,bjork,the chemical brothers,frank sinatra,faithless
jason mraz,jason mraz,james morrison,mika,amy macdonald,keane,james blunt,kate nash,amy winehouse,katie melua,maria mena,dido
jay-z,jay-z,kanye west,eminem,timbaland,gentleman,the streets,bob marley & the wailers,lenny kravitz,alicia keys,cypress hill,black eyed peas
jimi hendrix,jimi hendrix,the doors,led zeppelin,the rolling stones,eric clapton,deep purple,bob dylan,pink floyd,dire straits,the beatles,pearl jam
jimmy eat world,jimmy eat world,funeral for a friend,panic at the disco,blink-182,fall out boy,paramore,my chemical romance,afi,the used,rise against,lostprophets
johnny cash,johnny cash,the rolling stones,tom waits,bob dylan,pearl jam,the beatles,bob marley & the wailers,the clash,ramones,elvis presley,the doors
jose gonzalez,jose gonzalez,sufjan stevens,damien rice,the notwist,kings of convenience,boards of canada,beck,feist,cocorosie,elliott smith,beirut
joy division,joy division,hot chip,the cure,the smiths,david bowie,crystal castles,tom waits,mogwai,kings of convenience,beck,elliott smith
judas priest,judas priest,kreator,iron maiden,motorhead,black sabbath,hammerfall,slayer,manowar,deep purple,blind guardian,dimmu borgir
justice,justice,digitalism,daft punk,mgmt,the chemical brothers,deichkind,crystal castles,the ting tings,beastie boys,clueso,the wombats
justin timberlake,justin timberlake,timbaland,rihanna,nelly furtado,kanye west,david guetta,beyonce,christina aguilera,black eyed peas,lenny kravitz,the pussycat dolls
kaiser chiefs,kaiser chiefs,franz ferdinand,the killers,mando diao,muse,travis,razorlight,the fratellis,the subways,oasis,the kooks
kanye west,kanye west,timbaland,jay-z,justin timberlake,david guetta,eminem,rihanna,nelly furtado,lenny kravitz,peter fox,deichkind
kate nash,kate nash,lily allen,the wombats,amy winehouse,tegan and sara,maria mena,jason mraz,regina spektor,the ting tings,the kooks,amy macdonald
katie melua,katie melua,dido,norah jones,james morrison,mika,duffy,james blunt,jason mraz,amy macdonald,bruce springsteen,frank sinatra
katy perry,katy perry,lady gaga,the pussycat dolls,leona lewis,christina aguilera,britney spears,kelly clarkson,pink,rihanna,beyonce,cascada
keane,keane,travis,jason mraz,the fray,amy macdonald,snow patrol,amy winehouse,james blunt,razorlight,kaiser chiefs,norah jones
kelly clarkson,kelly clarkson,leona lewis,christina aguilera,lady gaga,pink,beyonce,katy perry,the pussycat dolls,nelly furtado,britney spears,avril lavigne
killswitch engage,killswitch engage,as i lay dying,trivium,caliban,atreyu,all that remains,sonic syndicate,machine head,chimaira,soilwork,heaven shall burn
kings of convenience,kings of convenience,feist,damien rice,belle and sebastian,the decemberists,jose gonzalez,nouvelle vague,the national,arcade fire,stars,hot chip
kings of leon,kings of leon,the strokes,death cab for cutie,bloc party,editors,razorlight,arctic monkeys,mgmt,franz ferdinand,the killers,mando diao
korpiklaani,korpiklaani,finntroll,ensiferum,equilibrium,die apokalyptischen reiter,eluveitie,amon amarth,blind guardian,subway to sally,in extremo,schandmaul
kreator,kreator,judas priest,slayer,arch enemy,ensiferum,motorhead,amon amarth,dimmu borgir,iron maiden,equilibrium,black sabbath
lacuna coil,lacuna coil,sonata arctica,nightwish,oomph!,rob zombie,apocalyptica,schandmaul,dark tranquillity,eluveitie,die apokalyptischen reiter,in extremo
lady gaga,lady gaga,katy perry,leona lewis,britney spears,the pussycat dolls,beyonce,kelly clarkson,cascada,black eyed peas,christina aguilera,rihanna
led zeppelin,led zeppelin,deep purple,jimi hendrix,the doors,pink floyd,aerosmith,the rolling stones,guns n roses,black sabbath,eric clapton,dire straits
lenny kravitz,lenny kravitz,alicia keys,justin timberlake,james morrison,aerosmith,timbaland,james blunt,jay-z,norah jones,kanye west,duffy
leona lewis,leona lewis,kelly clarkson,lady gaga,katy perry,beyonce,christina aguilera,rihanna,nelly furtado,the pussycat dolls,pink,britney spears
lily allen,lily allen,kate nash,amy macdonald,amy winehouse,maria mena,the ting tings,duffy,keane,regina spektor,clueso,blur
